year,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
2002,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.3950617283950617,0.08641975308641975,0.0,0.25925925925925924,0.2551440329218107,0.2551440329218107
2003,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.3950617283950617,0.08641975308641975,0.0,0.25925925925925924,0.2551440329218107,0.2551440329218107
2004,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.3950617283950617,0.08641975308641975,0.0,0.25925925925925924,0.2551440329218107,0.2551440329218107
2005,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.3950617283950617,0.08641975308641975,0.0,0.2551440329218107,0.2551440329218107,0.2551440329218107
2006,0.0,0.0,0.0,0.08641975308641975,0.30864197530864196,0.5020576131687243,0.08641975308641975,0.34156378600823045,0.30864197530864196,0.30864197530864196,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.3950617283950617,0.08641975308641975,0.0,0.2551440329218107,0.2551440329218107,0.2551440329218107
2007,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.34959349593495936,0.3048780487804878,0.3048780487804878,0.25203252032520324,0.25203252032520324,0.25203252032520324,0.4024390243902439,0.08536585365853659,0.0,0.25203252032520324,0.25203252032520324,0.25203252032520324
2008,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.34959349593495936,0.3048780487804878,0.3048780487804878,0.25203252032520324,0.25203252032520324,0.25203252032520324,0.4024390243902439,0.08536585365853659,0.0,0.25203252032520324,0.25203252032520324,0.25203252032520324
2009,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.34959349593495936,0.3048780487804878,0.3048780487804878,0.25203252032520324,0.25203252032520324,0.25203252032520324,0.4024390243902439,0.08536585365853659,0.0,0.25203252032520324,0.25203252032520324,0.25203252032520324
2010,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.34959349593495936,0.3048780487804878,0.3048780487804878,0.25203252032520324,0.25203252032520324,0.25203252032520324,0.4024390243902439,0.08536585365853659,0.0,0.25203252032520324,0.25203252032520324,0.25203252032520324
2011,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.34959349593495936,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2012,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2013,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2014,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2015,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2016,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2017,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2018,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2019,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,0.508130081300813,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,0.4024390243902439,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2020,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,1.0,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,1.0,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2021,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,1.0,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,1.0,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2022,0.0,0.0,0.0,0.08536585365853659,0.3048780487804878,1.0,0.08536585365853659,0.35365853658536583,0.3048780487804878,0.3048780487804878,0.24796747967479674,0.24796747967479674,0.24796747967479674,1.0,0.08536585365853659,0.0,0.24796747967479674,0.24796747967479674,0.24796747967479674
2023,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
