country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
COD,0.0,0.0,0.0,0.14864864864864866,1.0,1.0,0.14864864864864866,0.16216216216216217,1.0,1.0,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
COG,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
COL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
COM,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CPV,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CRI,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CUB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CYP,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
CZE,0.0,0.0,0.0,0.04721030042918455,0.09871244635193133,0.5536480686695279,0.04721030042918455,0.48497854077253216,0.09012875536480687,0.09012875536480687,0.0,0.0,0.0,0.48497854077253216,0.04721030042918455,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232
DEU,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
DJI,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.3783783783783784,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
DNK,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
DOM,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.12162162162162163,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.06756756756756757,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
DZA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.1891891891891892,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ECU,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
EGY,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ERI,0.0,0.0,0.0,0.14864864864864866,1.0,1.0,0.14864864864864866,0.5945945945945946,1.0,1.0,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ESP,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
EST,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,0.6486486486486487,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5945945945945946,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
ETH,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
FIN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
FJI,0.0,0.0,0.0,0.14864864864864866,1.0,0.4594594594594595,0.14864864864864866,0.2972972972972973,1.0,1.0,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
FRA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GAB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.24324324324324326,0.14864864864864866,0.14864864864864866,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GBR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
GEO,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,1.0,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,1.0,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
