,year,hc,country
812,1992,1.1483792066574097,BDI
813,1993,1.1554754972457886,BDI
814,1994,1.1626156568527222,BDI
815,1995,1.169800043106079,BDI
816,1996,1.1770286560058594,BDI
817,1997,1.1843020915985107,BDI
818,1998,1.1916203498840332,BDI
819,1999,1.198983907699585,BDI
820,2000,1.2063928842544556,BDI
821,2001,1.2152503728866577,BDI
822,2002,1.2241729497909546,BDI
823,2003,1.2331610918045044,BDI
824,2004,1.2422151565551758,BDI
825,2005,1.251335620880127,BDI
826,2006,1.2605230808258057,BDI
827,2007,1.2697780132293701,BDI
828,2008,1.279101014137268,BDI
829,2009,1.2884923219680786,BDI
830,2010,1.297952651977539,BDI
831,2011,1.3106213808059692,BDI
832,2012,1.3234138488769531,BDI
833,2013,1.3363311290740967,BDI
834,2014,1.349374532699585,BDI
835,2015,1.362545132637024,BDI
836,2016,1.3758444786071777,BDI
837,2017,1.3892734050750732,BDI
838,2018,1.4028335809707642,BDI
839,2019,1.4165260791778564,BDI
840,1950,2.203547477722168,BEL
841,1951,2.2190542221069336,BEL
842,1952,2.2346701622009277,BEL
843,1953,2.2503960132598877,BEL
844,1954,2.266232490539551,BEL
845,1955,2.2821805477142334,BEL
846,1956,2.2871932983398438,BEL
847,1957,2.2922170162200928,BEL
848,1958,2.2972519397735596,BEL
849,1959,2.302297592163086,BEL
850,1960,2.30735445022583,BEL
851,1961,2.308828830718994,BEL
852,1962,2.3103041648864746,BEL
853,1963,2.3117804527282715,BEL
854,1964,2.3132574558258057,BEL
855,1965,2.3147356510162354,BEL
856,1966,2.323425054550171,BEL
857,1967,2.3321471214294434,BEL
858,1968,2.3409018516540527,BEL
859,1969,2.349689483642578,BEL
860,1970,2.3585100173950195,BEL
861,1971,2.374488115310669,BEL
862,1972,2.3905742168426514,BEL
863,1973,2.406769275665283,BEL
864,1974,2.4230740070343018,BEL
865,1975,2.4394893646240234,BEL
866,1976,2.465547800064087,BEL
867,1977,2.49188494682312,BEL
868,1978,2.518503189086914,BEL
869,1979,2.545405864715576,BEL
870,1980,2.568467617034912,BEL
871,1981,2.5871214866638184,BEL
872,1982,2.6059107780456543,BEL
873,1983,2.6248369216918945,BEL
874,1984,2.643900156021118,BEL
875,1985,2.6631019115448,BEL
876,1986,2.681828737258911,BEL
877,1987,2.7006869316101074,BEL
878,1988,2.7196781635284424,BEL
879,1989,2.738802671432495,BEL
880,1990,2.758061647415161,BEL
881,1991,2.7838830947875977,BEL
882,1992,2.809946060180664,BEL
883,1993,2.8362531661987305,BEL
884,1994,2.862806558609009,BEL
885,1995,2.88960862159729,BEL
