,country,year,gdp_pc_lag1
799,BGD,2019,4056.646515831146
800,BGD,2020,4242.751699683921
801,BGD,2021,4418.9642546993055
802,BGD,2022,4684.003010247773
823,BRB,1970,9247.0
824,BRB,1971,10197.0
825,BRB,1972,10514.0
826,BRB,1973,10567.0
827,BRB,1974,10635.0
828,BRB,1975,10080.0
829,BRB,1976,9825.0
830,BRB,1977,10222.0
831,BRB,1978,10541.0
832,BRB,1979,11014.0
833,BRB,1980,11837.0
834,BRB,1981,12318.0
835,BRB,1982,12065.0
836,BRB,1983,11424.0
837,BRB,1984,11419.0
838,BRB,1985,11772.0
839,BRB,1986,11848.0
840,BRB,1987,12404.0
841,BRB,1988,12683.0
842,BRB,1989,13087.0
843,BRB,1990,13498.0
844,BRB,1991,12994.0
845,BRB,1992,12298.506043316776
846,BRB,1993,11427.266535386669
847,BRB,1994,11343.597356449796
848,BRB,1995,11405.559831534869
849,BRB,1996,11473.859014208198
850,BRB,1997,11760.82543058844
851,BRB,1998,12124.508840340635
852,BRB,1999,12384.761673771563
853,BRB,2000,12237.948549252023
854,BRB,2001,12600.02258991168
855,BRB,2002,12112.181084984171
856,BRB,2003,12025.47326597556
857,BRB,2004,12094.819238859292
858,BRB,2005,12078.73544492736
859,BRB,2006,12379.450180872049
860,BRB,2007,12889.87670111237
861,BRB,2008,12917.438978136508
862,BRB,2009,12786.107370240148
863,BRB,2010,12094.323952832176
864,BRB,2011,11954.32197476552
865,BRB,2012,11870.0
866,BRB,2013,11860.0
867,BRB,2014,11809.0
868,BRB,2015,11780.0
869,BRB,2016,11849.0
870,BRB,2017,12124.693618121464
871,BRB,2018,12157.312126680112
872,BRB,2019,12029.747514768049
873,BRB,2020,12040.277666500744
874,BRB,2021,10487.38640323072
875,BRB,2022,10386.52617137221
896,BLR,1970,
897,BLR,1971,
898,BLR,1972,
899,BLR,1973,
900,BLR,1974,8341.0
901,BLR,1975,
902,BLR,1976,
903,BLR,1977,
904,BLR,1978,
905,BLR,1979,
906,BLR,1980,
907,BLR,1981,9487.0
908,BLR,1982,9844.0
909,BLR,1983,10217.0
910,BLR,1984,10667.0
911,BLR,1985,10957.0
912,BLR,1986,11000.0
913,BLR,1987,11230.0
914,BLR,1988,11297.0
915,BLR,1989,11198.0
916,BLR,1990,11893.0
917,BLR,1991,11467.0
918,BLR,1992,11170.761076510917
919,BLR,1993,9960.843147824904
920,BLR,1994,9077.439997808402
921,BLR,1995,7932.001039288072
922,BLR,1996,6993.622120912842
923,BLR,1997,7128.354653886732
924,BLR,1998,7885.01962037309
925,BLR,1999,8481.967108913179
926,BLR,2000,8689.713251926989
927,BLR,2001,9110.979461261824
928,BLR,2002,9462.373906917526
929,BLR,2003,9870.308515825362
930,BLR,2004,10492.987004400124
931,BLR,2005,11615.685585132174
932,BLR,2006,12629.558047952214
933,BLR,2007,13792.553571309354
934,BLR,2008,14856.955773777863
935,BLR,2009,16223.996807883905
936,BLR,2010,16088.725028100594
937,BLR,2011,17172.460341933234
938,BLR,2012,17918.0
939,BLR,2013,18245.00752051267
940,BLR,2014,18456.410667499407
941,BLR,2015,18805.178759987022
942,BLR,2016,18122.864046120045
943,BLR,2017,17701.959316898497
944,BLR,2018,18193.273100172584
945,BLR,2019,18809.49500085152
946,BLR,2020,19130.393987789008
947,BLR,2021,19053.15702050917
948,BLR,2022,19541.914363354965
969,BEL,1970,15969.0
970,BEL,1971,16914.0
971,BEL,1972,17486.0
972,BEL,1973,18336.0
973,BEL,1974,19399.0
974,BEL,1975,20153.0
975,BEL,1976,19831.0
976,BEL,1977,20916.0
977,BEL,1978,21025.0
978,BEL,1979,21605.0
979,BEL,1980,22094.0
980,BEL,1981,23060.0
981,BEL,1982,22760.0
982,BEL,1983,23071.0
983,BEL,1984,23071.0
984,BEL,1985,23644.0
985,BEL,1986,23873.0
986,BEL,1987,24221.0
987,BEL,1988,24772.0
988,BEL,1989,25905.0
989,BEL,1990,26690.0
990,BEL,1991,27412.0
991,BEL,1992,27848.304164473633
992,BEL,1993,28199.57377624236
993,BEL,1994,27857.249440123524
994,BEL,1995,28706.500573956673
995,BEL,1996,29370.087081695692
996,BEL,1997,29820.299488270775
997,BEL,1998,30894.28279758947
998,BEL,1999,31480.74344858214
999,BEL,2000,32571.67449971978
1000,BEL,2001,33719.76983855418
1001,BEL,2002,33923.34204475072
1002,BEL,2003,34419.693751854655
1003,BEL,2004,34588.476021026705
1004,BEL,2005,35740.35246260941
1005,BEL,2006,36338.38311504945
1006,BEL,2007,37051.902245853424
1007,BEL,2008,38082.87333574846
1008,BEL,2009,38117.34841552228
1009,BEL,2010,36998.64926229877
1010,BEL,2011,37739.327492898185
1011,BEL,2012,38130.0
1012,BEL,2013,38173.23391642716
1013,BEL,2014,38169.830165153755
1014,BEL,2015,38599.42407791561
1015,BEL,2016,39160.32302813663
1016,BEL,2017,39456.86337267277
1017,BEL,2018,39940.823394286126
1018,BEL,2019,40471.914597792296
1019,BEL,2020,41155.526780402
1020,BEL,2021,38763.44257492726
