,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
19314,UKR,1999,19.8295030741632,4640.199197785761,0.5706439018249512,18.3,0.4185999631881714,4751.316240598978,49491.19,1.0,0.424,0.477,3.044844627380371,12.9917511231045,-0.815,0.879,0.802,0.92
19315,UKR,2000,17.8966433502907,4751.316240598978,0.6052681803703308,17.6,0.4185999631881714,5165.808153729847,49013.83,1.0,0.384,0.481,3.0711867809295654,13.6153819949128,-0.872,0.863,0.75,0.857
19316,UKR,2001,18.9037528116491,5165.808153729847,0.6733149886131287,16.8,0.4185999631881714,5793.659759650365,48520.34,1.0,0.384,0.495,3.0913338661193848,11.6624126908962,-0.952,0.868,0.768,0.857
19317,UKR,2002,17.6870050995567,5793.659759650365,0.7133960127830505,16,0.4185999631881714,6262.982424808585,48074.07,1.0,0.391,0.511,3.1116127967834473,12.6327971410023,-0.804,0.873,0.789,0.857
19318,UKR,2003,18.2398009770871,6262.982424808585,0.7850180268287659,15.3,0.4185999631881714,7029.570523797112,47692.44,1.0,0.396,0.558,3.1320250034332275,13.161625947039,-0.689,0.882,0.801,0.879
19319,UKR,2004,16.8907882666189,7029.570523797112,0.8749126195907593,14.6,0.4185999631881714,8049.395377032447,47342.45,1.0,0.387,0.593,3.152570962905884,12.8140914560614,-0.706,0.844,0.785,0.746
19320,UKR,2005,17.5271415295468,8049.395377032447,0.8899214267730713,14,0.4185999631881714,8496.676338957132,47002.64,1.0,0.456,0.55,3.1732516288757324,16.5287705679768,-0.944,0.829,0.779,0.713
19321,UKR,2006,17.6479333401768,8496.676338957132,0.9468559622764589,13.5,0.4185999631881714,9355.987925458065,46685.26,2.0,0.58,0.59,3.181306838989258,17.0921634355012,-0.348,0.846,0.795,0.763
19322,UKR,2007,17.0338141354216,9355.987925458065,1.0135176181793213,13,0.4185999631881714,10355.818446673604,46406.83,2.0,0.604,0.598,3.189382791519165,15.8179537908098,-0.568,0.847,0.798,0.754
19323,UKR,2008,16.9735340157991,10355.818446673604,1.0317533016204834,12.5,0.4185999631881714,10824.076461069992,46155.64,2.0,0.609,0.584,3.197478771209717,17.0917178616882,-0.469,0.843,0.799,0.737
19324,UKR,2009,19.4404260845876,10824.076461069992,0.9155973792076112,11.9,0.4185999631881714,9381.224975441304,45950.76,2.0,0.613,0.59,3.2055957317352295,15.7892363802239,-0.367,0.864,0.846,0.774
19325,UKR,2010,19.6666919510791,9381.224975441304,0.9226500988006592,11.4,0.4185999631881714,9601.208608595822,45768.17,1.0,0.49,0.448,3.213732957839966,14.997505767077,-0.354,0.881,0.851,0.782
19326,UKR,2011,17.6915870255815,9601.208608595822,0.9749963879585266,10.8,0.4185999631881714,10333.0,45603.52,1.0,0.485,0.439,3.2219724655151367,17.8400492744471,-0.285,0.89,0.851,0.782
19327,UKR,2012,18.9399463777572,10333.0,0.9799908399581908,10.3,0.4185999631881714,10381.638185351349,45491.54,1.0,0.483,0.433,3.230260848999023,17.6333154227001,-0.138,0.89,0.851,0.782
19328,UKR,2013,18.8979527234302,10381.638185351349,0.9822102189064026,9.9,0.4185999631881714,10405.389314437634,45388.61,1.0,0.464,0.441,3.238597869873047,16.8986843392832,-0.223,0.884,0.851,0.76
19329,UKR,2014,18.6657760497569,10405.389314437634,0.979170024394989,9.5,0.4185999631881714,9817.459393841984,44943.74,1.0,0.417,0.398,3.2469842433929443,17.294347838416,-0.448,0.803,0.713,0.686
19330,UKR,2015,18.9241475169772,9817.459393841984,0.9410513043403624,9.2,0.4185999631881714,8959.173499131002,44428.81,1.0,0.421,0.426,3.255420207977295,20.4513654211322,-0.369,0.783,0.636,0.669
19331,UKR,2016,18.602043207607,8959.173499131002,0.9728637337684632,8.9,0.4185999631881714,9221.608186466145,44207.71,1.0,0.434,0.441,3.263906478881836,19.6301198096561,-0.366,0.76,0.636,0.649
19332,UKR,2017,20.6834635537649,9221.608186466145,1.0,8.7,0.4185999631881714,9477.510214007096,44029.19,1.0,0.431,0.455,3.2724430561065674,20.0523676996082,-0.428,0.753,0.628,0.643
19333,UKR,2018,20.7717491381349,9477.510214007096,1.0194387435913086,8.5,0.4185999631881714,9827.171393881204,43943.68,1.0,0.433,0.465,3.2810301780700684,20.1425525138036,-0.574,0.744,0.628,0.612
19334,UKR,2019,18.7805334308224,9827.171393881204,1.0432007312774658,8.3,0.4185999631881714,10139.761229933642,43951.4,2.0,0.525,0.521,3.289668560028076,19.1961400966208,-0.541,0.664,0.518,0.52
19335,UKR,2020,19.2950967142315,10139.761229933642,,8.1,0.4185999631881714,9769.827945690837,43903.66,2.0,0.546,0.512,,19.1514002992876,-0.698,0.687,0.529,0.582
19336,UKR,2021,17.7421719075322,9769.827945690837,,8,0.4185999631881714,10133.884720213782,43745.64,2.0,0.539,0.521,,19.0823227721039,-1.018,0.667,0.529,0.585
19337,UKR,2022,39.8363540094756,10133.884720213782,,8,0.4185999631881714,7749.099445225775,39897.11,1.0,0.389,0.489,,16.6915073808281,-14.762,0.595,0.428,0.431
19338,UKR,2023,,,,,,,,1.0,0.387,0.498,,,,,,
19339,URY,1950,,,,,0.2175999879837036,,,2.0,0.78,0.835,1.7216863632202148,,0.92,0.077,0.101,0.1
19340,URY,1951,,,,,0.2175999879837036,,,2.0,0.782,0.836,1.7289447784423828,,1.04,0.077,0.101,0.1
19341,URY,1952,,,,,0.2175999879837036,,,2.0,0.782,0.836,1.7362337112426758,,1.137,0.077,0.101,0.1
