,year,Tax revenue (% of GDP),country
864,1963,..,TUR
865,1963,..,TKM
866,1963,..,TCA
867,1963,..,TUV
868,1963,..,UGA
869,1963,..,UKR
870,1963,..,ARE
871,1963,..,GBR
872,1963,..,USA
873,1963,..,URY
874,1963,..,UZB
875,1963,..,VUT
876,1963,..,VEN
877,1963,..,VNM
878,1963,..,VIR
879,1963,..,PSE
880,1963,..,YEM
881,1963,..,ZMB
882,1963,..,ZWE
886,1963,,Data from database: World Development Indicators
887,1963,,Last Updated: 10/07/2025
888,1964,..,AFG
889,1964,..,ALB
890,1964,..,DZA
891,1964,..,ASM
892,1964,..,AND
893,1964,..,AGO
894,1964,..,ATG
895,1964,..,ARG
896,1964,..,ARM
897,1964,..,ABW
898,1964,..,AUS
899,1964,..,AUT
900,1964,..,AZE
901,1964,..,BHS
902,1964,..,BHR
903,1964,..,BGD
904,1964,..,BRB
905,1964,..,BLR
906,1964,..,BEL
907,1964,..,BLZ
908,1964,..,BEN
909,1964,..,BMU
910,1964,..,BTN
911,1964,..,BOL
912,1964,..,BIH
913,1964,..,BWA
914,1964,..,BRA
915,1964,..,VGB
916,1964,..,BRN
917,1964,..,BGR
918,1964,..,BFA
919,1964,..,BDI
920,1964,..,CPV
921,1964,..,KHM
922,1964,..,CMR
923,1964,..,CAN
924,1964,..,CYM
925,1964,..,CAF
926,1964,..,TCD
927,1964,..,Channel Islands
928,1964,..,CHL
929,1964,..,CHN
930,1964,..,COL
931,1964,..,COM
932,1964,..,COD
933,1964,..,COG
934,1964,..,CRI
935,1964,..,CIV
936,1964,..,HRV
937,1964,..,CUB
938,1964,..,CUW
939,1964,..,CYP
940,1964,..,CZE
941,1964,..,DNK
942,1964,..,DJI
943,1964,..,DMA
944,1964,..,DOM
945,1964,..,ECU
946,1964,..,EGY
947,1964,..,SLV
948,1964,..,GNQ
949,1964,..,ERI
950,1964,..,EST
951,1964,..,SWZ
952,1964,..,ETH
953,1964,..,FRO
954,1964,..,FJI
955,1964,..,FIN
956,1964,..,FRA
957,1964,..,PYF
958,1964,..,GAB
959,1964,..,GMB
960,1964,..,GEO
961,1964,..,DEU
962,1964,..,GHA
963,1964,..,GIB
964,1964,..,GRC
965,1964,..,GRL
966,1964,..,GRD
967,1964,..,GUM
968,1964,..,GTM
969,1964,..,GIN
970,1964,..,GNB
971,1964,..,GUY
972,1964,..,HTI
973,1964,..,HND
974,1964,..,HKG
975,1964,..,HUN
976,1964,..,ISL
977,1964,..,IND
978,1964,..,IDN
979,1964,..,IRN
980,1964,..,IRQ
981,1964,..,IRL
982,1964,..,IMN
983,1964,..,ISR
984,1964,..,ITA
985,1964,..,JAM
986,1964,..,JPN
987,1964,..,JOR
988,1964,..,KAZ
989,1964,..,KEN
990,1964,..,KIR
991,1964,..,PRK
992,1964,..,KOR
993,1964,..,XKX
994,1964,..,KWT
995,1964,..,KGZ
996,1964,..,LAO
997,1964,..,LVA
998,1964,..,LBN
999,1964,..,LSO
1000,1964,..,LBR
1001,1964,..,LBY
1002,1964,..,LIE
1003,1964,..,LTU
1004,1964,..,LUX
1005,1964,..,MAC
1006,1964,..,MDG
1007,1964,..,MWI
1008,1964,..,MYS
1009,1964,..,MDV
1010,1964,..,MLI
1011,1964,..,MLT
1012,1964,..,MHL
1013,1964,..,MRT
1014,1964,..,MUS
1015,1964,..,MEX
1016,1964,..,FSM
1017,1964,..,MDA
1018,1964,..,MCO
1019,1964,..,MNG
1020,1964,..,MNE
1021,1964,..,MAR
1022,1964,..,MOZ
1023,1964,..,MMR
1024,1964,..,NAM
1025,1964,..,NRU
1026,1964,..,NPL
1027,1964,..,NLD
1028,1964,..,NCL
1029,1964,..,NZL
1030,1964,..,NIC
1031,1964,..,NER
1032,1964,..,NGA
1033,1964,..,MKD
1034,1964,..,MNP
1035,1964,..,NOR
1036,1964,..,OMN
1037,1964,..,PAK
1038,1964,..,PLW
1039,1964,..,PAN
1040,1964,..,PNG
1041,1964,..,PRY
1042,1964,..,PER
1043,1964,..,PHL
1044,1964,..,POL
1045,1964,..,PRT
1046,1964,..,PRI
1047,1964,..,QAT
1048,1964,..,ROU
1049,1964,..,RUS
1050,1964,..,RWA
1051,1964,..,WSM
1052,1964,..,SMR
1053,1964,..,STP
1054,1964,..,SAU
1055,1964,..,SEN
1056,1964,..,SRB
1057,1964,..,SYC
1058,1964,..,SLE
1059,1964,..,SGP
1060,1964,..,SXM
1061,1964,..,SVK
1062,1964,..,SVN
1063,1964,..,SLB
1064,1964,..,SOM
1065,1964,..,ZAF
1066,1964,..,SSD
1067,1964,..,ESP
1068,1964,..,LKA
1069,1964,..,KNA
1070,1964,..,LCA
1071,1964,..,MAF
1072,1964,..,VCT
1073,1964,..,SDN
1074,1964,..,SUR
1075,1964,..,SWE
1076,1964,..,CHE
1077,1964,..,SYR
1078,1964,..,TJK
1079,1964,..,TZA
1080,1964,..,THA
1081,1964,..,TLS
1082,1964,..,TGO
1083,1964,..,TON
1084,1964,..,TTO
1085,1964,..,TUN
1086,1964,..,TUR
1087,1964,..,TKM
1088,1964,..,TCA
1089,1964,..,TUV
1090,1964,..,UGA
1091,1964,..,UKR
1092,1964,..,ARE
1093,1964,..,GBR
1094,1964,..,USA
1095,1964,..,URY
1096,1964,..,UZB
1097,1964,..,VUT
1098,1964,..,VEN
1099,1964,..,VNM
1100,1964,..,VIR
1101,1964,..,PSE
1102,1964,..,YEM
1103,1964,..,ZMB
1104,1964,..,ZWE
1108,1964,,Data from database: World Development Indicators
1109,1964,,Last Updated: 10/07/2025
1110,1965,..,AFG
1111,1965,..,ALB
1112,1965,..,DZA
1113,1965,..,ASM
1114,1965,..,AND
1115,1965,..,AGO
