,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
102,1985,203.069731643595,395.903908729522,0.3390294963850118,AFG
103,1986,166.305851947019,596.978996259201,0.2178817676491954,AFG
104,1987,336.18345093868,681.225629090447,0.33043095205033507,AFG
105,1988,175.081535947609,524.499078027528,0.250266420266802,AFG
106,1989,174.740024113342,425.807715987379,0.2909677490153163,AFG
107,1990,131.088402304205,479.278490000662,0.21476984410014294,AFG
108,1991,189.029326711642,443.105907968783,0.29903304916582524,AFG
109,1992,181.319022489673,398.244445096848,0.3128544717367033,AFG
110,1993,688.112731565031,464.757256902532,0.5968693247706931,AFG
111,1994,104.603806854626,390.842287771235,0.2111305508092019,AFG
112,1995,165.993816403574,387.414266858782,0.29994830473930884,AFG
113,1996,128.046649694318,660.796276373919,0.16232211187153578,AFG
114,1997,144.654658853577,604.313059036211,0.19313870998491178,AFG
115,1998,151.181189317813,462.49259125921,0.24635432391401973,AFG
116,1999,122.752138313704,490.307256310942,0.20022878597082858,AFG
117,2000,121.506323,408.760985,0.2291416445382675,AFG
118,2001,95.822855,344.519918,0.21760969153001178,AFG
119,2002,97.625026,942.242008,0.09388222033010424,AFG
120,2003,223.350724,1226.413719,0.15406000959564162,AFG
121,2004,142.776141,1710.299846,0.07704818474883189,AFG
122,2005,204.318903,2313.322591,0.08115488384145611,AFG
123,2006,184.848183,2756.905158,0.0628360578107354,AFG
124,2007,233.051741,2684.437352,0.07988092965254488,AFG
125,2008,542.197338,3198.448913,0.14494750415253846,AFG
126,2009,420.755876,3648.387636,0.10340158187077478,AFG
127,2010,392.145151,5575.187146,0.06571531992564683,AFG
128,2011,379.391291,6917.795952,0.051991442506006694,AFG
129,2012,305.795136,3420.527998,0.08206350469443749,AFG
130,2013,373.958198,2237.952346,0.1431741982354814,AFG
131,2014,414.759214,4472.101403,0.08487232325742432,AFG
132,2015,574.115004,8110.078931,0.06611033888662231,AFG
133,2016,597.767434,6774.84087,0.08107950529199848,AFG
134,2017,834.348293,7962.217398,0.09484932214553277,AFG
135,2018,875.181037,7406.505905,0.10567666263277595,AFG
136,2019,863.833322,6776.097718,0.11306820931724013,AFG
137,2020,776.722236,6537.609387,0.10619182668141378,AFG
138,2021,769.643549,5160.376078,0.12978768999275017,AFG
139,2022,614.952856,4232.308222,0.12686604787826533,AFG
140,1948,3170.7,4609.98,0.4075093693610327,Africa
141,1949,3092.5,4503.42,0.4071264573613203,Africa
142,1950,3361.0,3698.03,0.4761277399302737,Africa
143,1951,4231.1,5144.31,0.4512975965851094,Africa
144,1952,4144.8,5453.53,0.4318251195780933,Africa
145,1953,4171.8,5130.01,0.44849335774435295,Africa
146,1954,3914.4,4840.9,0.4470891916896052,Africa
147,1955,4128.7,5383.5,0.43404259792687283,Africa
148,1956,4360.6,5504.8,0.44200944715875684,Africa
149,1957,4587.2,6194.7,0.42545376974373716,Africa
150,1958,4192.9,5935.7,0.4139663921963549,Africa
151,1959,4293.9,5810.102,0.4249702246693933,Africa
152,1960,4789.49,6910.22,0.4093682663929277,Africa
153,1961,4990.0,6798.0,0.42331184255174753,Africa
154,1962,4736.301,6026.8,0.44004985180386214,Africa
155,1963,5921.818,7026.709,0.4573352629221841,Africa
156,1964,8663.239,9358.02727272727,0.4807231006353106,Africa
157,1965,9004.611,9418.287,0.48877277613978,Africa
158,1966,10704.005,10186.803,0.5123786978464404,Africa
159,1967,10838.44,10408.4003636364,0.510120084422049,Africa
160,1968,12587.664,10918.1936363636,0.5355117943251244,Africa
161,1969,14357.003,12141.5887272727,0.5418024907800508,Africa
162,1970,15460.272,14302.8753636364,0.5194434516992257,Africa
163,1971,15293.756,15695.2438181818,0.49352209137859554,Africa
164,1972,18231.855,16967.1648181818,0.5179648494240873,Africa
165,1973,26767.954,22269.5125454545,0.545867392541331,Africa
166,1974,47163.618,34833.2132727273,0.575188300181143,Africa
167,1975,41281.191,44207.9072727273,0.4828825175849294,Africa
168,1976,47090.337,43599.6971818182,0.5192448919535285,Africa
169,1977,55004.592,52576.0313636364,0.5112871656643722,Africa
170,1978,56023.511,61434.9763636364,0.4769643493412136,Africa
171,1979,83206.8541730762,60439.7201038342,0.5792470484724311,Africa
172,1980,89624.8716876376,71724.3263395485,0.5554714419623982,Africa
173,1981,95839.2629381864,103993.046189385,0.47959843609175,Africa
174,1982,82038.2534193499,91102.7679324908,0.4738233191580843,Africa
175,1983,78462.2577497964,81702.4947210876,0.48988467524438545,Africa
176,1984,80371.1367801016,77466.5230114107,0.5092012697493349,Africa
177,1985,78006.6269375302,65835.9735356413,0.5423054552749096,Africa
178,1986,63284.9162314679,66715.6539176158,0.4868049129237912,Africa
179,1987,71983.5763527527,69609.8412351517,0.5083822226980549,Africa
180,1988,72953.1717047226,78147.4343922177,0.4828119065116037,Africa
181,1989,79065.1658578262,81039.386027382,0.4938345907523876,Africa
182,1990,98479.3399781462,96428.885263863,0.5052600517801064,Africa
