,year,General government final consumption expenditure (% of GDP),country
556,1962,..,LBR
557,1962,..,LBY
558,1962,..,LIE
559,1962,..,LTU
560,1962,..,LUX
561,1962,..,MAC
562,1962,17.2185411176122,MDG
563,1962,..,MWI
564,1962,13.9546270605517,MYS
565,1962,..,MDV
566,1962,..,MLI
567,1962,..,MLT
568,1962,..,MHL
569,1962,..,MRT
570,1962,..,MUS
571,1962,6.27031578947368,MEX
572,1962,..,FSM
573,1962,..,MDA
574,1962,..,MCO
575,1962,..,MNG
576,1962,..,MNE
577,1962,12.1242327363557,MAR
578,1962,..,MOZ
579,1962,..,MMR
580,1962,..,NAM
581,1962,..,NRU
582,1962,..,NPL
583,1962,..,NLD
584,1962,..,NCL
585,1962,..,NZL
586,1962,8.29879876926696,NIC
587,1962,8.5645425704014,NER
588,1962,..,NGA
589,1962,..,MKD
590,1962,..,MNP
591,1962,..,NOR
592,1962,..,OMN
593,1962,10.095006090134,PAK
594,1962,..,PLW
595,1962,10.2508139211609,PAN
596,1962,28.9451114922813,PNG
597,1962,7.04981517338497,PRY
598,1962,8.61309673905775,PER
599,1962,..,PHL
600,1962,..,POL
601,1962,..,PRT
602,1962,..,PRI
603,1962,..,QAT
604,1962,..,ROU
605,1962,..,RUS
606,1962,10.5599977241601,RWA
607,1962,..,WSM
608,1962,..,SMR
609,1962,..,STP
610,1962,..,SAU
611,1962,5.01666305194035,SEN
612,1962,..,SRB
613,1962,..,SYC
614,1962,..,SLE
615,1962,9.39390345154786,SGP
616,1962,..,SXM
617,1962,..,SVK
618,1962,..,SVN
619,1962,..,SLB
620,1962,7.80024233098397,SOM
621,1962,9.24393723252496,ZAF
622,1962,..,SSD
623,1962,..,ESP
624,1962,13.8137408321377,LKA
625,1962,..,KNA
626,1962,..,LCA
627,1962,..,MAF
628,1962,..,VCT
629,1962,11.2648648648649,SDN
630,1962,..,SUR
631,1962,15.7922600620278,SWE
632,1962,..,CHE
633,1962,13.0672853832836,SYR
634,1962,..,TJK
635,1962,..,TZA
636,1962,9.08958023322682,THA
637,1962,..,TLS
638,1962,..,TGO
639,1962,..,TON
640,1962,..,TTO
641,1962,..,TUN
642,1962,9.83810709838107,TUR
643,1962,..,TKM
644,1962,..,TCA
645,1962,..,TUV
646,1962,9.47151681537406,UGA
647,1962,..,UKR
648,1962,..,ARE
649,1962,17.9120239859393,GBR
650,1962,16.1543263149681,USA
651,1962,13.4020618556701,URY
652,1962,..,UZB
653,1962,..,VUT
654,1962,11.2802709568163,VEN
655,1962,..,VNM
656,1962,..,VIR
657,1962,..,PSE
658,1962,..,YEM
659,1962,..,ZMB
660,1962,12.0551634858075,ZWE
664,1962,,Data from database: World Development Indicators
665,1962,,Last Updated: 10/07/2025
666,1963,..,AFG
667,1963,..,ALB
668,1963,19.0048840354438,DZA
669,1963,..,ASM
670,1963,..,AND
671,1963,..,AGO
672,1963,..,ATG
673,1963,10.2521949603684,ARG
674,1963,..,ARM
675,1963,..,ABW
676,1963,11.6778453699371,AUS
677,1963,..,AUT
678,1963,..,AZE
679,1963,..,BHS
680,1963,..,BHR
681,1963,6.9415589919198,BGD
682,1963,..,BRB
683,1963,..,BLR
684,1963,..,BEL
685,1963,..,BLZ
686,1963,10.6261734579732,BEN
687,1963,..,BMU
688,1963,..,BTN
689,1963,9.64086471408647,BOL
690,1963,..,BIH
691,1963,22.2442433184324,BWA
692,1963,12.7368474442453,BRA
693,1963,..,VGB
694,1963,..,BRN
695,1963,..,BGR
696,1963,7.38639910682372,BFA
697,1963,4.51127823425373,BDI
698,1963,..,CPV
699,1963,..,KHM
700,1963,..,CMR
701,1963,16.0175115991736,CAN
702,1963,..,CYM
703,1963,19.5583591278648,CAF
704,1963,13.4132665465163,TCD
705,1963,..,Channel Islands
706,1963,9.43679293917388,CHL
707,1963,13.7181229514749,CHN
708,1963,7.41422476479305,COL
709,1963,..,COM
710,1963,..,COD
711,1963,15.26065871454,COG
712,1963,12.1291331732409,CRI
713,1963,9.42467992136692,CIV
714,1963,..,HRV
715,1963,..,CUB
716,1963,..,CUW
717,1963,..,CYP
718,1963,..,CZE
719,1963,..,DNK
720,1963,..,DJI
721,1963,..,DMA
722,1963,16.1352057966843,DOM
723,1963,8.8453843559511,ECU
724,1963,17.4787146388355,EGY
725,1963,..,SLV
726,1963,..,GNQ
727,1963,..,ERI
728,1963,..,EST
729,1963,..,SWZ
730,1963,..,ETH
731,1963,..,FRO
732,1963,..,FJI
733,1963,..,FIN
734,1963,15.9612940991874,FRA
735,1963,..,PYF
736,1963,14.0838659082193,GAB
737,1963,..,GMB
738,1963,..,GEO
739,1963,..,DEU
740,1963,11.3636363636364,GHA
741,1963,..,GIB
742,1963,11.7579248468176,GRC
743,1963,..,GRL
744,1963,..,GRD
745,1963,..,GUM
746,1963,6.60437123851758,GTM
747,1963,..,GIN
748,1963,..,GNB
749,1963,12.1473614337869,GUY
750,1963,..,HTI
751,1963,10.7264748902974,HND
752,1963,5.44739618298648,HKG
753,1963,..,HUN
754,1963,..,ISL
755,1963,8.70504098583899,IND
756,1963,7.11480927449514,IDN
757,1963,11.1109991325453,IRN
758,1963,..,IRQ
759,1963,..,IRL
760,1963,..,IMN
761,1963,..,ISR
762,1963,..,ITA
763,1963,8.1216247110524,JAM
764,1963,..,JPN
765,1963,..,JOR
766,1963,..,KAZ
767,1963,11.4708805532615,KEN
768,1963,..,KIR
769,1963,..,PRK
770,1963,10.5303760848602,KOR
771,1963,..,XKX
772,1963,..,KWT
773,1963,..,KGZ
774,1963,..,LAO
775,1963,..,LVA
776,1963,..,LBN
777,1963,16.9642857142857,LSO
778,1963,..,LBR
779,1963,..,LBY
780,1963,..,LIE
781,1963,..,LTU
782,1963,..,LUX
